stream;model;QP;FPS;Resolution;Accuracy;Bitrate;Latency;GPU_load
1;yolov5s;22;20;1280x720;0.814678;1120.5;41.12;26.31
1;yolov5s;22;25;1280x720;0.810343;1349.9;42.76;30.63
1;yolov5s;20;20;1280x720;0.812019;1465.2;43.36;28.3
1;yolov5s;20;25;1280x720;0.812422;1785.5;41.71;30.52
1;yolov5s;18;20;1280x720;0.819183;1987.5;41.39;29.33
1;yolov5s;18;25;1280x720;0.807705;2417.8;39.61;32.32
1;yolov5s;16;20;1280x720;0.817878;2718.2;43.4;28.06
1;yolov5s;16;25;1280x720;0.81498;3329.4;43.18;31.1
1;yolov5s;14;20;1280x720;0.822081;3552.9;49.55;27.97
1;yolov5s;14;25;1280x720;0.809545;4368.1;43.9;29.85
1;yolov5s;12;20;1280x720;0.812916;4740.3;45.34;26.88
1;yolov5s;12;25;1280x720;0.808822;5809.0;44.73;30.27
1;yolov5s;10;20;1280x720;0.819667;6491.6;42.51;27.91
1;yolov5s;10;25;1280x720;0.816145;8033.7;47.09;29.33
1;yolov5s;8;20;1280x720;0.814881;8487.4;43.23;28.06
1;yolov5s;8;25;1280x720;0.818349;10491.7;43.51;29.9
1;yolov5s;6;20;1280x720;0.818447;11273.4;44.13;28.62
1;yolov5s;6;25;1280x720;0.815191;14049.1;42.62;30.32
1;yolov5m;22;20;1280x720;0.889304;1120.5;50.43;28.42
1;yolov5m;22;25;1280x720;0.893041;1349.9;49.31;30.81
1;yolov5m;20;20;1280x720;0.898729;1465.2;48.61;30.28
1;yolov5m;20;25;1280x720;0.893489;1785.5;49.13;31.23
1;yolov5m;18;20;1280x720;0.891593;1987.5;50.83;30.66
1;yolov5m;18;25;1280x720;0.891197;2417.8;47.73;30.21
1;yolov5m;16;20;1280x720;0.899049;2718.2;48.55;30.0
1;yolov5m;16;25;1280x720;0.897724;3329.4;47.64;29.79
1;yolov5m;14;20;1280x720;0.89634;3552.9;48.4;29.37
1;yolov5m;14;25;1280x720;0.896333;4368.1;50.63;30.16
1;yolov5m;12;20;1280x720;0.89092;4740.3;52.39;29.5
1;yolov5m;12;25;1280x720;0.891869;5809.0;47.77;30.3
1;yolov5m;10;20;1280x720;0.894148;6491.6;47.87;29.81
1;yolov5m;10;25;1280x720;0.892488;8033.7;46.06;30.65
1;yolov5m;8;20;1280x720;0.894006;8487.4;48.93;28.17
1;yolov5m;8;25;1280x720;0.895543;10491.7;49.15;29.0
1;yolov5m;6;20;1280x720;0.89603;11273.4;50.01;28.03
1;yolov5m;6;25;1280x720;0.89336;14049.1;49.76;31.05
1;yolov5l;22;20;1280x720;0.947034;1120.5;61.91;30.6
1;yolov5l;22;25;1280x720;0.946533;1349.9;57.31;30.37
1;yolov5l;20;20;1280x720;0.945959;1465.2;57.59;29.29
1;yolov5l;20;25;1280x720;0.946244;1785.5;57.77;30.52
